image type	percentage similarity	computational time
arabic\arabic.jpg	100	0.009000062942504883
arabic\arabic_45.png	0	0.0
arabic\arabic_90.jpg	0	0.016000032424926758
arabic\arabic_blurred.jpg	0	0.0
arabic\arabic_cropped.jpg	1	0.015999794006347656
image type	percentage similarity	computational time
arabic\arabic.jpg	100	0.016000032424926758
arabic\arabic_45.png	100	0.012000083923339844
arabic\arabic_90.jpg	100	0.009999990463256836
arabic\arabic_blurred.jpg	1666	0.006999969482421875
arabic\arabic_cropped.jpg	100	0.011999845504760742
image type	percentage similarity	computational time
test\condame.jpg	100	0.01399993896484375
test\condame_45.png	100	0.01100015640258789
test\condame_90.jpg	100	0.013000011444091797
test\condame_cropped.jpg	100	0.014000177383422852
test\life.JPEG	100	0.007999897003173828
test\malcomx.jpg	100	0.013000011444091797
test\prayer_45.png	100	0.0
test\prayer_blurred.jpg	16666	0.0
test\rose_90.jpg	100	0.015000104904174805
test\rose_blurred.jpg	4545	0.0
