similarity(%)	image name	time and date
1 %	butterfly.jpg	04/04/2019 10:46:58
0 %	likeblack.jpg	04/04/2019 10:46:58
0 %	rose.jpg	04/04/2019 10:46:58
0 %	arabic.jpg	04/04/2019 10:46:58
0 %	the_100.jpg	04/04/2019 10:46:58
0 %	malcomx.jpg	04/04/2019 10:46:58
0 %	life.JPEG	04/04/2019 10:46:58
0 %	prayer.jpg	04/04/2019 10:46:58
0 %	unnamed.jpg	04/04/2019 10:46:58
0 %	sherlock.jpg	04/04/2019 10:46:58
0 %	madam.jpg	04/04/2019 10:46:58
0 %	memory.jpg	04/04/2019 10:46:58
0 %	condame.jpg	04/04/2019 10:46:58
0 %	unnamed-1.jpg	04/04/2019 10:46:58
similarity(%)	image name	time and date
0 %	likeblack.jpg	04/04/2019 10:48:48
0 %	rose.jpg	04/04/2019 10:48:48
0 %	arabic.jpg	04/04/2019 10:48:48
0 %	the_100.jpg	04/04/2019 10:48:48
0 %	butterfly.jpg	04/04/2019 10:48:48
0 %	malcomx.jpg	04/04/2019 10:48:48
0 %	life.JPEG	04/04/2019 10:48:48
0 %	prayer.jpg	04/04/2019 10:48:48
0 %	unnamed.jpg	04/04/2019 10:48:48
0 %	sherlock.jpg	04/04/2019 10:48:48
0 %	madam.jpg	04/04/2019 10:48:48
0 %	memory.jpg	04/04/2019 10:48:48
0 %	condame.jpg	04/04/2019 10:48:48
0 %	unnamed-1.jpg	04/04/2019 10:48:48
similarity(%)	image name	time and date
15 %	malcomx.jpg	04/04/2019 10:18:05
0 %	likeblack.jpg	04/04/2019 10:18:05
0 %	rose.jpg	04/04/2019 10:18:05
0 %	arabic.jpg	04/04/2019 10:18:05
0 %	the_100.jpg	04/04/2019 10:18:05
0 %	butterfly.jpg	04/04/2019 10:18:05
0 %	life.JPEG	04/04/2019 10:18:05
0 %	prayer.jpg	04/04/2019 10:18:05
0 %	unnamed.jpg	04/04/2019 10:18:05
0 %	sherlock.jpg	04/04/2019 10:18:05
0 %	madam.jpg	04/04/2019 10:18:05
0 %	memory.jpg	04/04/2019 10:18:05
0 %	condame.jpg	04/04/2019 10:18:05
0 %	unnamed-1.jpg	04/04/2019 10:18:05
similarity(%)	image name	time and date
3 %	butterfly.jpg	04/04/2019 10:19:05
0 %	likeblack.jpg	04/04/2019 10:19:05
0 %	rose.jpg	04/04/2019 10:19:05
0 %	arabic.jpg	04/04/2019 10:19:05
0 %	the_100.jpg	04/04/2019 10:19:05
0 %	malcomx.jpg	04/04/2019 10:19:05
0 %	life.JPEG	04/04/2019 10:19:05
0 %	prayer.jpg	04/04/2019 10:19:05
0 %	unnamed.jpg	04/04/2019 10:19:05
