similarity(%)	image name	time and date
1 %	butterfly.jpg	04/04/2019 10:35:45
0 %	likeblack.jpg	04/04/2019 10:35:45
0 %	rose.jpg	04/04/2019 10:35:45
0 %	arabic.jpg	04/04/2019 10:35:45
0 %	the_100.jpg	04/04/2019 10:35:45
0 %	malcomx.jpg	04/04/2019 10:35:45
0 %	life.JPEG	04/04/2019 10:35:45
0 %	prayer.jpg	04/04/2019 10:35:45
0 %	unnamed.jpg	04/04/2019 10:35:45
0 %	sherlock.jpg	04/04/2019 10:35:45
0 %	madam.jpg	04/04/2019 10:35:45
0 %	memory.jpg	04/04/2019 10:35:45
0 %	condame.jpg	04/04/2019 10:35:45
0 %	unnamed-1.jpg	04/04/2019 10:35:45
similarity(%)	image name	time and date
7 %	butterfly.jpg	04/04/2019 10:36:52
1 %	memory.jpg	04/04/2019 10:36:52
0 %	likeblack.jpg	04/04/2019 10:36:52
0 %	rose.jpg	04/04/2019 10:36:52
0 %	arabic.jpg	04/04/2019 10:36:52
0 %	the_100.jpg	04/04/2019 10:36:52
0 %	malcomx.jpg	04/04/2019 10:36:52
0 %	life.JPEG	04/04/2019 10:36:52
0 %	prayer.jpg	04/04/2019 10:36:52
0 %	unnamed.jpg	04/04/2019 10:36:52
0 %	sherlock.jpg	04/04/2019 10:36:52
0 %	madam.jpg	04/04/2019 10:36:52
0 %	condame.jpg	04/04/2019 10:36:52
0 %	unnamed-1.jpg	04/04/2019 10:36:52
similarity(%)	image name	time and date
2 %	prayer.jpg	04/04/2019 10:48:30
0 %	likeblack.jpg	04/04/2019 10:48:30
0 %	rose.jpg	04/04/2019 10:48:30
0 %	arabic.jpg	04/04/2019 10:48:30
0 %	the_100.jpg	04/04/2019 10:48:30
0 %	butterfly.jpg	04/04/2019 10:48:30
0 %	malcomx.jpg	04/04/2019 10:48:30
0 %	life.JPEG	04/04/2019 10:48:30
0 %	unnamed.jpg	04/04/2019 10:48:30
0 %	sherlock.jpg	04/04/2019 10:48:30
0 %	madam.jpg	04/04/2019 10:48:30
0 %	memory.jpg	04/04/2019 10:48:30
0 %	condame.jpg	04/04/2019 10:48:30
0 %	unnamed-1.jpg	04/04/2019 10:48:30
similarity(%)	image name	time and date
2 %	the_100.jpg	04/04/2019 10:48:46
0 %	likeblack.jpg	04/04/2019 10:48:46
0 %	rose.jpg	04/04/2019 10:48:46
0 %	arabic.jpg	04/04/2019 10:48:46
0 %	butterfly.jpg	04/04/2019 10:48:46
0 %	malcomx.jpg	04/04/2019 10:48:46
0 %	life.JPEG	04/04/2019 10:48:46
0 %	prayer.jpg	04/04/2019 10:48:46
0 %	unnamed.jpg	04/04/2019 10:48:46
0 %	sherlock.jpg	04/04/2019 10:48:46
0 %	madam.jpg	04/04/2019 10:48:46
0 %	memory.jpg	04/04/2019 10:48:46
0 %	condame.jpg	04/04/2019 10:48:46
0 %	unnamed-1.jpg	04/04/2019 10:48:46
similarity(%)	image name	time and date
1 %	butterfly.jpg	04/04/2019 10:51:28
0 %	likeblack.jpg	04/04/2019 10:51:28
0 %	rose.jpg	04/04/2019 10:51:28
0 %	arabic.jpg	04/04/2019 10:51:28
0 %	the_100.jpg	04/04/2019 10:51:28
0 %	malcomx.jpg	04/04/2019 10:51:28
0 %	life.JPEG	04/04/2019 10:51:28
0 %	prayer.jpg	04/04/2019 10:51:28
0 %	unnamed.jpg	04/04/2019 10:51:28
0 %	sherlock.jpg	04/04/2019 10:51:28
0 %	madam.jpg	04/04/2019 10:51:28
0 %	memory.jpg	04/04/2019 10:51:28
0 %	condame.jpg	04/04/2019 10:51:28
0 %	unnamed-1.jpg	04/04/2019 10:51:28
