similarity(%)	image name	time and date
1 %	butterfly.jpg	04/04/2019 10:14:05
0 %	likeblack.jpg	04/04/2019 10:14:05
0 %	rose.jpg	04/04/2019 10:14:05
0 %	arabic.jpg	04/04/2019 10:14:05
0 %	the_100.jpg	04/04/2019 10:14:05
0 %	malcomx.jpg	04/04/2019 10:14:05
0 %	life.JPEG	04/04/2019 10:14:05
0 %	prayer.jpg	04/04/2019 10:14:05
0 %	unnamed.jpg	04/04/2019 10:14:05
0 %	sherlock.jpg	04/04/2019 10:14:05
0 %	madam.jpg	04/04/2019 10:14:05
0 %	memory.jpg	04/04/2019 10:14:05
0 %	condame.jpg	04/04/2019 10:14:05
0 %	unnamed-1.jpg	04/04/2019 10:14:05
similarity(%)	image name	time and date
1 %	butterfly.jpg	04/04/2019 10:45:39
0 %	likeblack.jpg	04/04/2019 10:45:39
0 %	rose.jpg	04/04/2019 10:45:39
0 %	arabic.jpg	04/04/2019 10:45:39
0 %	the_100.jpg	04/04/2019 10:45:39
0 %	malcomx.jpg	04/04/2019 10:45:39
0 %	life.JPEG	04/04/2019 10:45:39
0 %	prayer.jpg	04/04/2019 10:45:39
0 %	unnamed.jpg	04/04/2019 10:45:39
0 %	sherlock.jpg	04/04/2019 10:45:39
0 %	madam.jpg	04/04/2019 10:45:39
0 %	memory.jpg	04/04/2019 10:45:39
0 %	condame.jpg	04/04/2019 10:45:39
0 %	unnamed-1.jpg	04/04/2019 10:45:39
similarity(%)	image name	time and date
2 %	prayer.jpg	04/04/2019 10:46:08
0 %	likeblack.jpg	04/04/2019 10:46:08
0 %	rose.jpg	04/04/2019 10:46:08
0 %	arabic.jpg	04/04/2019 10:46:08
0 %	the_100.jpg	04/04/2019 10:46:08
0 %	butterfly.jpg	04/04/2019 10:46:08
0 %	malcomx.jpg	04/04/2019 10:46:08
0 %	life.JPEG	04/04/2019 10:46:08
0 %	unnamed.jpg	04/04/2019 10:46:08
0 %	sherlock.jpg	04/04/2019 10:46:08
0 %	madam.jpg	04/04/2019 10:46:08
0 %	memory.jpg	04/04/2019 10:46:08
0 %	condame.jpg	04/04/2019 10:46:08
0 %	unnamed-1.jpg	04/04/2019 10:46:08
similarity(%)	image name	time and date
2 %	the_100.jpg	04/04/2019 10:46:43
0 %	likeblack.jpg	04/04/2019 10:46:43
0 %	rose.jpg	04/04/2019 10:46:43
0 %	arabic.jpg	04/04/2019 10:46:43
0 %	butterfly.jpg	04/04/2019 10:46:43
0 %	malcomx.jpg	04/04/2019 10:46:43
0 %	life.JPEG	04/04/2019 10:46:43
0 %	prayer.jpg	04/04/2019 10:46:43
0 %	unnamed.jpg	04/04/2019 10:46:43
0 %	sherlock.jpg	04/04/2019 10:46:43
0 %	madam.jpg	04/04/2019 10:46:43
0 %	memory.jpg	04/04/2019 10:46:43
0 %	condame.jpg	04/04/2019 10:46:43
0 %	unnamed-1.jpg	04/04/2019 10:46:43
