image type	percentage similarity	computational time
test\condame.jpg	100	0.35700011253356934
test\condame_45.png	38	0.38899993896484375
test\condame_90.jpg	56	0.3580000400543213
test\condame_cropped.jpg	90	0.38299989700317383
test\life.JPEG	0	0.125
test\malcomx.jpg	0	1.4749999046325684
test\prayer_45.png	0	0.8190000057220459
test\prayer_blurred.jpg	0	0.14700007438659668
test\rose_90.jpg	0	0.4739999771118164
test\rose_blurred.jpg	0	0.11599993705749512
image type	percentage similarity	computational time
test\condame.jpg	100	0.3619999885559082
test\condame_45.png	38	0.37599992752075195
test\condame_90.jpg	56	0.3559999465942383
test\condame_cropped.jpg	90	0.379000186920166
test\life.JPEG	0	0.11500000953674316
test\malcomx.jpg	0	1.4680001735687256
test\prayer_45.png	0	0.7869999408721924
test\prayer_blurred.jpg	0	0.13499999046325684
test\rose_90.jpg	0	0.4849998950958252
test\rose_blurred.jpg	0	0.10599994659423828
image type	percentage similarity	computational time
test\condame.jpg	100	0.3530001640319824
test\condame_45.png	38	0.3919999599456787
test\condame_90.jpg	56	0.34400010108947754
test\condame_cropped.jpg	90	0.40400004386901855
test\life.JPEG	0	0.125
test\malcomx.jpg	0	1.4709999561309814
test\prayer_45.png	0	0.7799999713897705
test\prayer_blurred.jpg	0	0.12999987602233887
test\rose_90.jpg	0	0.4829998016357422
test\rose_blurred.jpg	0	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.3510000705718994
test\condame_45.png	44	1.3840000629425049
test\condame_90.jpg	62	0.5799999237060547
test\condame_cropped.jpg	91	0.5580000877380371
test\life.JPEG	0	0.18600010871887207
test\malcomx.jpg	0	2.111999988555908
test\prayer_45.png	0	0.8969998359680176
test\prayer_blurred.jpg	0	0.12800002098083496
test\rose_90.jpg	0	0.4679999351501465
test\rose_blurred.jpg	0	0.09400010108947754
image type	percentage similarity	computational time
test\condame.jpg	100	0.34400010108947754
test\condame_45.png	44	0.41100001335144043
test\condame_90.jpg	62	0.46700000762939453
test\condame_cropped.jpg	91	0.5039999485015869
test\life.JPEG	0	0.15700006484985352
test\malcomx.jpg	0	2.0430002212524414
test\prayer_45.png	0	1.0839998722076416
test\prayer_blurred.jpg	0	0.125
test\rose_90.jpg	0	0.4779999256134033
test\rose_blurred.jpg	0	0.1099998950958252
image type	percentage similarity	computational time
test\condame.jpg	100	0.3580000400543213
test\condame_45.png	44	0.40799999237060547
test\condame_90.jpg	62	0.37800002098083496
test\condame_cropped.jpg	91	0.3769998550415039
test\life.JPEG	0	0.1269998550415039
test\malcomx.jpg	0	1.5179998874664307
test\prayer_45.png	0	0.8070001602172852
test\prayer_blurred.jpg	0	0.17999982833862305
test\rose_90.jpg	0	0.6549999713897705
test\rose_blurred.jpg	0	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.3549997806549072
test\condame_45.png	50	0.4010000228881836
test\condame_90.jpg	67	0.377000093460083
test\condame_cropped.jpg	92	0.42599987983703613
test\life.JPEG	0	0.1230001449584961
test\malcomx.jpg	0	1.5099999904632568
test\prayer_45.png	0	0.807999849319458
test\prayer_blurred.jpg	0	0.13700008392333984
test\rose_90.jpg	0	0.4939999580383301
test\rose_blurred.jpg	0	0.125
image type	percentage similarity	computational time
test\condame.jpg	100	0.5619997978210449
test\condame_45.png	50	0.4100000858306885
test\condame_90.jpg	67	0.36699986457824707
test\condame_cropped.jpg	92	0.3940000534057617
test\life.JPEG	0	0.13499999046325684
test\malcomx.jpg	0	1.6119999885559082
test\prayer_45.png	0	0.7879998683929443
test\prayer_blurred.jpg	0	0.125
test\rose_90.jpg	0	0.48399996757507324
test\rose_blurred.jpg	0	0.1099998950958252
image type	percentage similarity	computational time
test\condame.jpg	100	0.3599998950958252
test\condame_45.png	50	0.5460000038146973
test\condame_90.jpg	67	0.4509999752044678
test\condame_cropped.jpg	92	0.5090000629425049
test\life.JPEG	0	0.14100003242492676
test\malcomx.jpg	0	1.9079999923706055
test\prayer_45.png	0	0.7890000343322754
test\prayer_blurred.jpg	0	0.125
test\rose_90.jpg	0	0.48799991607666016
test\rose_blurred.jpg	0	0.14400005340576172
image type	percentage similarity	computational time
test\condame.jpg	100	0.36299991607666016
test\condame_45.png	56	0.39499998092651367
test\condame_90.jpg	72	0.34800004959106445
test\condame_cropped.jpg	93	0.3919999599456787
test\life.JPEG	0	0.12299990653991699
test\malcomx.jpg	0	1.9509999752044678
test\prayer_45.png	0	1.0490000247955322
test\prayer_blurred.jpg	0	0.14100003242492676
test\rose_90.jpg	0	0.6440000534057617
test\rose_blurred.jpg	0	0.125
image type	percentage similarity	computational time
test\condame.jpg	100	0.3450000286102295
test\condame_45.png	56	0.3970000743865967
test\condame_90.jpg	72	0.3600001335144043
test\condame_cropped.jpg	93	0.40399980545043945
test\life.JPEG	0	0.1419999599456787
test\malcomx.jpg	0	1.4600000381469727
test\prayer_45.png	0	0.7950000762939453
test\prayer_blurred.jpg	0	0.14100003242492676
test\rose_90.jpg	0	0.5069999694824219
test\rose_blurred.jpg	0	0.09400010108947754
image type	percentage similarity	computational time
test\condame.jpg	100	0.4649999141693115
test\condame_45.png	56	0.5350000858306885
test\condame_90.jpg	72	0.3639998435974121
test\condame_cropped.jpg	93	0.38299989700317383
test\life.JPEG	0	0.1359999179840088
test\malcomx.jpg	0	1.4840002059936523
test\prayer_45.png	0	0.812999963760376
test\prayer_blurred.jpg	0	0.127000093460083
test\rose_90.jpg	0	0.48599982261657715
test\rose_blurred.jpg	0	0.1100001335144043
image type	percentage similarity	computational time
test\condame.jpg	100	0.4789998531341553
test\condame_45.png	56	0.5230000019073486
test\condame_90.jpg	72	0.48799991607666016
test\condame_cropped.jpg	93	0.5320000648498535
test\life.JPEG	0	0.18700003623962402
test\malcomx.jpg	0	1.875999927520752
test\prayer_45.png	0	0.7919998168945312
test\prayer_blurred.jpg	0	0.12599992752075195
test\rose_90.jpg	0	0.5060000419616699
test\rose_blurred.jpg	0	0.1100001335144043
image type	percentage similarity	computational time
test\condame.jpg	100	0.3470001220703125
test\condame_45.png	60	0.40000009536743164
test\condame_90.jpg	76	0.47300004959106445
test\condame_cropped.jpg	93	0.5209999084472656
test\life.JPEG	0	0.17299985885620117
test\malcomx.jpg	0	2.0199999809265137
test\prayer_45.png	0	1.0829999446868896
test\prayer_blurred.jpg	0	0.125
test\rose_90.jpg	0	0.4850001335144043
test\rose_blurred.jpg	0	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.5160000324249268
test\condame_45.png	60	0.5539999008178711
test\condame_90.jpg	76	0.4070000648498535
test\condame_cropped.jpg	93	0.4089999198913574
test\life.JPEG	0	0.13099980354309082
test\malcomx.jpg	0	1.4820001125335693
test\prayer_45.png	0	0.7979998588562012
test\prayer_blurred.jpg	0	0.1099998950958252
test\rose_90.jpg	0	0.4759998321533203
test\rose_blurred.jpg	0	0.09400010108947754
image type	percentage similarity	computational time
test\condame.jpg	100	0.3529999256134033
test\condame_45.png	60	0.40799999237060547
test\condame_90.jpg	76	0.4830000400543213
test\condame_cropped.jpg	93	0.5199999809265137
test\life.JPEG	0	0.17199993133544922
test\malcomx.jpg	0	1.9490001201629639
test\prayer_45.png	0	1.061000108718872
test\prayer_blurred.jpg	0	0.125
test\rose_90.jpg	0	0.48400020599365234
test\rose_blurred.jpg	0	0.09400010108947754
image type	percentage similarity	computational time
test\condame.jpg	100	0.3659999370574951
test\condame_45.png	65	0.4700000286102295
test\condame_90.jpg	80	0.3450000286102295
test\condame_cropped.jpg	94	0.38300013542175293
test\life.JPEG	0	0.1360001564025879
test\malcomx.jpg	0	1.5099999904632568
test\prayer_45.png	0	1.0460000038146973
test\prayer_blurred.jpg	1	0.1770000457763672
test\rose_90.jpg	0	0.6409997940063477
test\rose_blurred.jpg	0	0.125
image type	percentage similarity	computational time
test\condame.jpg	100	0.3450000286102295
test\condame_45.png	65	0.3989999294281006
test\condame_90.jpg	80	0.36300015449523926
test\condame_cropped.jpg	94	0.5180001258850098
test\life.JPEG	0	0.17199993133544922
test\malcomx.jpg	0	1.994999885559082
test\prayer_45.png	0	1.1200001239776611
test\prayer_blurred.jpg	1	0.15599989891052246
test\rose_90.jpg	0	0.500999927520752
test\rose_blurred.jpg	0	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.45399999618530273
test\condame_45.png	65	0.5269999504089355
test\condame_90.jpg	80	0.47099995613098145
test\condame_cropped.jpg	94	0.5980000495910645
test\life.JPEG	0	0.17799997329711914
test\malcomx.jpg	0	1.4810001850128174
test\prayer_45.png	0	0.7990000247955322
test\prayer_blurred.jpg	1	0.1399998664855957
test\rose_90.jpg	0	0.6009998321533203
test\rose_blurred.jpg	0	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.45799994468688965
