image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.35600996017456055	2.937196969985962
rot_90	90	0.26089000701904297	2.8920860290527344
cropped	78	0.2487959861755371	2.902691125869751
lumino	58	0.43810200691223145	8.831382036209106
rot_45	50	0.3966810703277588	3.015507936477661
blurred	9	0.05486011505126953	2.8455138206481934
other1	0	0.43228816986083984	6.976158142089844
other2	0	0.48742103576660156	2.717176914215088
other3	0	0.33676695823669434	6.489984035491943
other4	0	0.06023597717285156	2.8572330474853516
0ther5	0	0.05067300796508789	2.7218611240386963
0ther6	0	0.23462200164794922	2.892406940460205
other7	0	0.05559492111206055	2.8689188957214355
other8	0	0.5979058742523193	2.7896728515625
other9	0	0.05411982536315918	0.1879730224609375
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.22646403312683105	2.9376380443573
rot_90	90	0.23757314682006836	2.8052008152008057
cropped	81	0.2568039894104004	2.9887399673461914
lumino	61	0.30711889266967773	6.705910921096802
rot_45	51	0.5106489658355713	2.741405963897705
blurred	10	0.05426287651062012	2.840510129928589
other1	0	0.33366894721984863	5.996168851852417
other2	0	0.2453911304473877	2.694690227508545
other3	0	0.3322148323059082	6.102948904037476
other4	0	0.061647891998291016	2.8694510459899902
0ther5	0	0.04930996894836426	2.6803479194641113
0ther6	0	0.20680999755859375	2.670964002609253
other7	0	0.06161689758300781	2.7159810066223145
other8	0	0.7002780437469482	2.6835989952087402
other9	0	0.0802149772644043	0.19859814643859863
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.22730016708374023	3.0685219764709473
rot_90	90	0.3549787998199463	3.023836135864258
cropped	83	0.2108781337738037	3.917113780975342
lumino	63	0.4321630001068115	7.634196996688843
rot_45	52	0.3298630714416504	2.750786066055298
blurred	11	0.04819297790527344	2.9910781383514404
other1	0	0.5829589366912842	6.432697057723999
other2	0	0.3012819290161133	2.6688039302825928
other3	0	0.34250783920288086	6.733072996139526
other4	0	0.05111408233642578	2.818464994430542
0ther5	0	0.04616093635559082	2.5704901218414307
0ther6	0	0.19093799591064453	2.6397831439971924
other7	0	0.05673980712890625	2.707008123397827
