image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.39133787155151367	3.52780818939209
original_cropped.jpg	90	0.34139108657836914	3.363878011703491
original_90.jpg	78	0.3175630569458008	3.285515785217285
f.png	58	0.4230468273162842	8.979735851287842
original_lumino.jpg	50	0.5017731189727783	3.3903589248657227
j.jpg	0	0.07295393943786621	3.6865041255950928
h.jpg	0	0.08569908142089844	3.206300973892212
i.jpg	0	0.20828008651733398	3.411055088043213
a.JPEG	0	0.07480192184448242	0.29447412490844727
b.png	0	0.34117603302001953	13.448385953903198
c.jpg	0	0.36962199211120605	3.1066858768463135
d.jpg	0	0.8022198677062988	3.8919761180877686
e.jpg	0	0.05719399452209473	3.4536728858947754
g.png	0	0.3599870204925537	11.73213005065918
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.23407506942749023	3.342203140258789
original_cropped.jpg	90	0.2673308849334717	3.7608120441436768
original_90.jpg	81	0.273425817489624	3.2700350284576416
f.png	61	0.44539809226989746	13.581431865692139
original_lumino.jpg	51	0.45430588722229004	3.1368801593780518
j.jpg	0	0.05840110778808594	3.5609169006347656
h.jpg	0	0.06678581237792969	3.0140230655670166
i.jpg	0	0.27933692932128906	3.156028985977173
a.JPEG	0	0.05345511436462402	0.26923108100891113
b.png	0	0.4334080219268799	9.833039999008179
c.jpg	0	0.364703893661499	3.199644088745117
d.jpg	0	0.8865180015563965	3.357358932495117
e.jpg	0	0.0703737735748291	3.9448599815368652
g.png	0	0.4862709045410156	11.787361860275269
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.37055206298828125	3.4044551849365234
original_cropped.jpg	90	0.24855494499206543	3.8346951007843018
original_90.jpg	83	0.34418702125549316	4.083988904953003
f.png	63	0.2985990047454834	7.20274806022644
original_lumino.jpg	52	0.4445760250091553	3.1084678173065186
j.jpg	0	0.10228800773620605	4.0980329513549805
h.jpg	0	0.06334996223449707	3.6520121097564697
i.jpg	0	0.2574479579925537	3.535162925720215
a.JPEG	0	0.0509181022644043	0.32369518280029297
b.png	0	0.4676859378814697	13.959304094314575
c.jpg	0	0.3021581172943115	3.2424328327178955
d.jpg	0	0.6716170310974121	3.355257034301758
e.jpg	0	0.06618809700012207	3.4640350341796875
g.png	0	0.4125380516052246	11.001101016998291
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.33699798583984375	3.361652135848999
original_cropped.jpg	90	0.252269983291626	3.2914369106292725
original_90.jpg	85	0.2891361713409424	3.289997100830078
f.png	65	0.3220090866088867	10.629203081130981
original_lumino.jpg	53	0.48767805099487305	3.084522008895874
h.jpg	1	0.06437397003173828	3.0743408203125
j.jpg	0	0.05513191223144531	3.9079999923706055
i.jpg	0	0.28870391845703125	3.092468023300171
a.JPEG	0	0.06778383255004883	0.3191039562225342
b.png	0	0.32595014572143555	9.63002610206604
c.jpg	0	0.3322939872741699	3.0535221099853516
d.jpg	0	0.9168400764465332	3.3727738857269287
e.jpg	0	0.06203198432922363	3.546447992324829
g.png	0	0.5281670093536377	10.926137924194336
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.3103659152984619	3.680293083190918
original_cropped.jpg	91	0.26944899559020996	4.069104194641113
original_90.jpg	87	0.3605060577392578	3.73884916305542
f.png	67	0.5170578956604004	9.44559097290039
original_lumino.jpg	53	0.5110371112823486	3.4606239795684814
h.jpg	2	0.08347582817077637	3.1548891067504883
j.jpg	1	0.05677986145019531	3.5711710453033447
i.jpg	0	0.2856318950653076	3.9499449729919434
a.JPEG	0	0.08230185508728027	0.3048539161682129
b.png	0	0.3841559886932373	9.603879928588867
c.jpg	0	0.301926851272583	3.3398540019989014
d.jpg	0	1.0663468837738037	4.078809976577759
e.jpg	0	0.06641793251037598	3.8736209869384766
g.png	0	0.3843879699707031	10.95491099357605
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.3424351215362549	4.212443113327026
original_cropped.jpg	91	0.2937757968902588	3.616270065307617
original_90.jpg	89	0.3064911365509033	3.6663901805877686
f.png	70	0.47450780868530273	7.524618864059448
original_lumino.jpg	54	0.8589630126953125	3.800096035003662
h.jpg	4	0.09144401550292969	3.517704963684082
j.jpg	3	0.06799983978271484	4.154502868652344
a.JPEG	2	0.08602690696716309	0.3076350688934326
e.jpg	2	0.05371880531311035	3.5062949657440186
i.jpg	1	0.24698805809020996	3.6010000705718994
b.png	0	0.38812994956970215	10.740991115570068
c.jpg	0	0.47946715354919434	3.409959077835083
d.jpg	0	0.8141160011291504	3.8473520278930664
g.png	0	0.45926809310913086	9.137624979019165
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.3350200653076172	3.6056740283966064
original_cropped.jpg	91	0.29405713081359863	3.5942230224609375
original_90.jpg	90	0.2357158660888672	3.4555628299713135
f.png	73	0.40447998046875	8.101538896560669
original_lumino.jpg	54	0.5259518623352051	3.31312894821167
h.jpg	8	0.06994819641113281	3.3584389686584473
j.jpg	6	0.06356692314147949	3.958230972290039
a.JPEG	6	0.1478431224822998	0.2865769863128662
e.jpg	5	0.06387209892272949	4.174444913864136
i.jpg	3	0.21085000038146973	3.6070711612701416
b.png	2	0.3907639980316162	9.357923030853271
c.jpg	2	0.3942680358886719	3.2675931453704834
g.png	2	0.5653700828552246	9.837597131729126
d.jpg	1	0.5992081165313721	3.5753800868988037
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.30899810791015625	3.956101894378662
original_90.jpg	92	0.27344799041748047	3.482682943344116
original_cropped.jpg	92	0.3196580410003662	3.551100969314575
f.png	75	0.4665710926055908	7.391470909118652
original_lumino.jpg	55	0.4236009120941162	3.3575618267059326
h.jpg	15	0.07953500747680664	3.6123459339141846
j.jpg	14	0.09240508079528809	3.942373037338257
e.jpg	12	0.06400489807128906	3.660494089126587
a.JPEG	11	0.0908041000366211	0.36113691329956055
i.jpg	7	0.2400369644165039	3.372074842453003
b.png	5	0.441972017288208	9.806149959564209
c.jpg	4	0.4846940040588379	3.4433939456939697
g.png	4	0.5490059852600098	10.247111797332764
d.jpg	2	0.8174920082092285	3.8617701530456543
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.3365769386291504	3.7161450386047363
original_90.jpg	93	0.27912092208862305	3.7019848823547363
original_cropped.jpg	93	0.27593994140625	3.757519006729126
f.png	79	0.26755380630493164	8.516224145889282
original_lumino.jpg	56	0.5681381225585938	3.392016887664795
h.jpg	31	0.08376789093017578	3.3888800144195557
j.jpg	30	0.0680549144744873	3.9179909229278564
e.jpg	27	0.06069517135620117	3.62007999420166
a.JPEG	25	0.06643509864807129	0.3271481990814209
i.jpg	17	0.2893650531768799	3.457101821899414
b.png	12	0.37537503242492676	8.685131788253784
c.jpg	12	0.3295111656188965	3.3176429271698
g.png	10	0.541517972946167	8.209964036941528
d.jpg	5	0.8960099220275879	3.711498975753784
image name	percentage similarity	matching time	time_to_fetch_descriptors
original.jpg	99	0.3381810188293457	3.621900796890259
original_90.jpg	96	0.34154796600341797	3.51830792427063
original_cropped.jpg	94	0.3210599422454834	3.7256760597229004
f.png	83	0.3450779914855957	7.264533996582031
h.jpg	57	0.07809805870056152	3.2766330242156982
original_lumino.jpg	57	0.5105850696563721	3.2279160022735596
j.jpg	55	0.06389188766479492	3.8332788944244385
e.jpg	55	0.05192399024963379	3.7189300060272217
a.JPEG	51	0.13123607635498047	0.30700182914733887
i.jpg	36	0.2623939514160156	3.3418049812316895
b.png	27	0.44974589347839355	8.68547010421753
c.jpg	26	0.4495871067047119	3.3432059288024902
g.png	21	0.42623400688171387	7.759037017822266
d.jpg	11	0.8102118968963623	3.630897045135498
