image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.010843992233276367	0.2279491424560547
rot_90	99	0.008530139923095703	0.1777651309967041
cropped	68	0.007912874221801758	0.16666603088378906
lumino	47	0.007469892501831055	0.2117290496826172
rot_45	23	0.009137868881225586	0.4265329837799072
other1	1	0.0008130073547363281	0.1643660068511963
other2	0	0.0045299530029296875	0.34291911125183105
other3	0	0.0052111148834228516	0.17293596267700195
other4	0	0.005316019058227539	0.3590219020843506
0ther5	0	0.0006861686706542969	0.16425704956054688
0ther6	0	0.0008409023284912109	0.16414284706115723
other7	0	0.003695964813232422	0.1710071563720703
other8	0	0.005730152130126953	0.1842050552368164
other9	0	0.004197120666503906	0.018299102783203125
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.008363008499145508	0.3344550132751465
rot_90	99	0.011240959167480469	0.18190693855285645
cropped	69	0.008423089981079102	0.18235206604003906
lumino	50	0.0075571537017822266	0.22159719467163086
rot_45	31	0.014739990234375	0.5182008743286133
other1	0	0.005755186080932617	0.3929290771484375
other2	0	0.006796836853027344	0.1888730525970459
other3	0	0.0049970149993896484	0.36588215827941895
other4	0	0.0007090568542480469	0.16751790046691895
0ther5	0	0.0007619857788085938	0.17083406448364258
0ther6	0	0.0037300586700439453	0.18529391288757324
other7	0	0.0010268688201904297	0.17348098754882812
other8	0	0.006531953811645508	0.2062070369720459
other9	0	0.004637956619262695	0.017125844955444336
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.008219003677368164	0.20290303230285645
rot_90	99	0.011411905288696289	0.18396782875061035
cropped	70	0.01154017448425293	0.26813197135925293
lumino	53	0.0077838897705078125	0.27492403984069824
rot_45	40	0.01557612419128418	0.37868714332580566
other1	1	0.0071599483489990234	0.3785879611968994
other2	0	0.006557941436767578	0.2097949981689453
other3	0	0.0046269893646240234	0.37870216369628906
other4	0	0.0007128715515136719	0.22547411918640137
0ther5	0	0.0012059211730957031	0.2501068115234375
0ther6	0	0.006879091262817383	0.5220599174499512
other7	0	0.0010259151458740234	0.2612440586090088
other8	0	0.007993936538696289	0.2620258331298828
other9	0	0.005513906478881836	0.04065084457397461
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.010447025299072266	0.18434405326843262
rot_90	99	0.008563041687011719	0.19764208793640137
cropped	72	0.009076118469238281	0.1849219799041748
lumino	55	0.008469820022583008	0.23612594604492188
rot_45	47	0.010552167892456055	0.4471139907836914
other1	1	0.005752086639404297	0.3706231117248535
other2	1	0.005136966705322266	0.19234800338745117
other3	1	0.005360126495361328	0.39893484115600586
other4	1	0.00453495979309082	0.18777894973754883
0ther5	0	0.0007429122924804688	0.17845892906188965
0ther6	0	0.0006699562072753906	0.16640281677246094
other7	0	0.0011289119720458984	0.21553397178649902
other8	0	0.00574493408203125	0.27640604972839355
other9	0	0.004502058029174805	0.021448850631713867
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.008074045181274414	0.18721604347229004
rot_90	99	0.008749961853027344	0.19634485244750977
cropped	75	0.008172988891601562	0.18184113502502441
lumino	57	0.009535074234008789	0.2683291435241699
rot_45	52	0.00906991958618164	0.38399291038513184
other1	3	0.0068089962005615234	0.21187615394592285
other2	3	0.004782915115356445	0.4169750213623047
other3	3	0.000965118408203125	0.16652202606201172
other4	2	0.005026102066040039	0.3797187805175781
0ther5	1	0.0041010379791259766	0.18832015991210938
0ther6	1	0.008507013320922852	0.21026992797851562
other7	1	0.0037741661071777344	0.01868605613708496
other8	0	0.0010199546813964844	0.17549705505371094
other9	0	0.0006830692291259766	0.17634105682373047
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.007108926773071289	0.17599987983703613
rot_90	99	0.007116079330444336	0.17350316047668457
cropped	76	0.012643814086914062	0.24554204940795898
lumino	61	0.006031036376953125	0.21293401718139648
rot_45	59	0.00892496109008789	0.39792585372924805
other1	6	0.005709171295166016	0.3483009338378906
other2	6	0.005035877227783203	0.20848393440246582
other3	3	0.006161928176879883	0.35780787467956543
other4	3	0.005261898040771484	0.17655611038208008
0ther5	2	0.008126020431518555	0.2899789810180664
0ther6	1	0.007937908172607422	0.02721095085144043
other7	0	0.0012319087982177734	0.17376399040222168
other8	0	0.0013380050659179688	0.3944671154022217
other9	0	0.0013120174407958984	0.24716806411743164
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.008888959884643555	0.17376399040222168
rot_90	99	0.008404016494750977	0.1799471378326416
cropped	79	0.008568048477172852	0.1748061180114746
lumino	65	0.008670806884765625	0.3715839385986328
rot_45	64	0.006966829299926758	0.22635197639465332
other1	11	0.003756999969482422	0.3641238212585449
other2	8	0.004518032073974609	0.18786406517028809
other3	8	0.0037119388580322266	0.015797138214111328
other4	7	0.005534172058105469	0.18592596054077148
0ther5	6	0.005624055862426758	0.3669772148132324
0ther6	6	0.007025003433227539	0.20652508735656738
other7	3	0.0007889270782470703	0.17532992362976074
other8	0	0.001338958740234375	0.17922687530517578
other9	0	0.0007159709930419922	0.1878950595855713
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.008677005767822266	0.17383384704589844
rot_90	99	0.008057832717895508	0.18195700645446777
cropped	82	0.0080108642578125	0.16411900520324707
lumino	70	0.025532007217407227	0.36305689811706543
rot_45	70	0.0057871341705322266	0.2063291072845459
other1	21	0.00391387939453125	0.3514740467071533
other2	21	0.0035698413848876953	0.1727900505065918
other3	16	0.0041959285736083984	0.3418769836425781
other4	14	0.004191875457763672	0.017230987548828125
0ther5	12	0.006905078887939453	0.18040013313293457
0ther6	11	0.008622884750366211	0.1904308795928955
other7	5	0.0008590221405029297	0.16157197952270508
other8	0	0.0013630390167236328	0.16076993942260742
other9	0	0.0007491111755371094	0.16318607330322266
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.007961034774780273	0.17100000381469727
rot_90	100	0.007623910903930664	0.1710968017578125
cropped	85	0.010068893432617188	0.1659698486328125
lumino	77	0.008142948150634766	0.35146403312683105
rot_45	76	0.006867885589599609	0.21106481552124023
other1	35	0.0036890506744384766	0.34148287773132324
other2	31	0.005767107009887695	0.18933987617492676
other3	29	0.004923105239868164	0.34223198890686035
other4	29	0.004993915557861328	0.1815040111541748
0ther5	29	0.00421905517578125	0.18563079833984375
