image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.262814998626709	2.203052043914795
rot_90	99	0.35845303535461426	2.445023775100708
cropped	78	0.2827341556549072	2.5413148403167725
lumino	20	0.7825498580932617	3.339010000228882
rot_45	8	0.21460700035095215	5.559444189071655
blurred	2	0.0410161018371582	2.121194839477539
other1	0	0.24766206741333008	4.38192892074585
other2	0	0.37933802604675293	3.036691188812256
other3	0	0.417133092880249	5.613536834716797
other4	0	0.09403610229492188	2.1390750408172607
0ther5	0	0.06399917602539062	2.0819671154022217
0ther6	0	0.29746508598327637	2.6232008934020996
other7	0	0.08270478248596191	2.0686700344085693
other8	0	1.0905630588531494	3.896819829940796
other9	0	0.11002707481384277	0.23960494995117188
