image name	matching time	time_to_fetch_descriptors
original	99	7.304964065551758	3.128679037094116
rot_90	99	7.60562801361084	3.449084997177124
cropped	68	7.660184144973755	3.1942338943481445
lumino	12	22.00875997543335	4.537871837615967
rot_45	5	4.955025911331177	4.502671957015991
blurred	0	0.4067070484161377	1.9897310733795166
other1	0	7.6315319538116455	6.235089063644409
other2	0	7.991912126541138	3.618360996246338
other3	0	6.463168144226074	6.927834987640381
other4	0	0.9417569637298584	3.3803179264068604
0ther5	0	0.7709078788757324	3.432382822036743
0ther6	0	6.950824975967407	3.7897231578826904
other7	0	0.8333590030670166	2.540290117263794
other8	0	19.813833951950073	6.611984968185425
other9	0	1.0284559726715088	0.3257009983062744
original	99	7.489131927490234	3.162449836730957
rot_90	99	7.446054935455322	3.120968818664551
cropped	70	7.7652599811553955	3.172511100769043
lumino	14	20.880610942840576	4.379885196685791
rot_45	7	4.995056867599487	4.208220958709717
blurred	1	0.3897430896759033	1.9783859252929688
other1	0	6.529322862625122	5.181233882904053
other2	0	7.713811159133911	3.453552007675171
other3	0	5.659564018249512	5.330111026763916
other4	0	0.8629951477050781	2.398283004760742
0ther5	0	0.7352068424224854	2.535006046295166
0ther6	0	6.540262937545776	3.759779930114746
other7	0	0.8206491470336914	2.4309520721435547
other8	0	19.61721706390381	5.768265962600708
other9	0	1.046661138534546	0.31665492057800293
original	99	7.246111154556274	3.165734052658081
rot_90	99	7.2611260414123535	3.1828389167785645
cropped	72	7.569894075393677	3.1453330516815186
lumino	16	20.409390926361084	4.233098030090332
rot_45	9	5.28348708152771	4.32854700088501
blurred	1	0.38034605979919434	2.0053131580352783
other1	0	6.118309020996094	5.021065950393677
other2	0	7.337415933609009	3.4230589866638184
other3	0	5.654172897338867	4.924847841262817
other4	0	0.8237371444702148	2.3525030612945557
0ther5	0	0.7328472137451172	2.4842848777770996
0ther6	0	6.469297885894775	3.699625015258789
other7	0	0.8318989276885986	2.388353109359741
other8	0	20.92939519882202	5.766452074050903
other9	0	1.0257349014282227	0.3188009262084961
original	99	7.223314046859741	3.0479888916015625
rot_90	99	7.19489598274231	3.0126090049743652
cropped	74	7.524172067642212	3.094053030014038
lumino	17	20.36075186729431	4.316628932952881
rot_45	11	4.980256080627441	4.569887161254883
blurred	1	0.39348387718200684	1.953455924987793
other1	1	0.8348479270935059	2.3689141273498535
other2	0	6.448450088500977	5.029056072235107
other3	0	7.499234914779663	3.4292330741882324
other4	0	5.514750957489014	4.827459812164307
0ther5	0	0.7213668823242188	2.5457968711853027
0ther6	0	6.420802116394043	3.6732850074768066
other7	0	0.804865837097168	2.4027769565582275
other8	0	19.392343997955322	5.720154047012329
other9	0	1.0327610969543457	0.3189399242401123
original	99	7.168093919754028	3.194211959838867
rot_90	99	7.277523994445801	3.086310863494873
cropped	76	9.536336183547974	4.204365015029907
lumino	19	20.380050897598267	4.240194082260132
