image type	percentage similarity	computational time
test\condame.jpg	100	5.626999855041504
test\condame_45.png	5	5.193000078201294
test\condame_90.jpg	99	7.367000102996826
test\condame_cropped.jpg	71	6.927000045776367
test\life.JPEG	0	0.9939999580383301
test\malcomx.jpg	0	14.891999959945679
test\prayer_45.png	0	4.353999853134155
test\prayer_blurred.jpg	0	0.6410000324249268
test\rose_90.jpg	0	5.016999959945679
test\rose_blurred.jpg	0	0.7209999561309814
image type	percentage similarity	computational time
test\condame.jpg	100	7.448000192642212
test\condame_45.png	5	4.145999908447266
test\condame_90.jpg	99	5.608000040054321
test\condame_cropped.jpg	71	5.825999975204468
test\life.JPEG	0	0.7770001888275146
test\malcomx.jpg	0	14.566999912261963
test\prayer_45.png	0	4.378999948501587
test\prayer_blurred.jpg	0	0.6380000114440918
test\rose_90.jpg	0	6.752000093460083
test\rose_blurred.jpg	0	0.7569999694824219
image type	percentage similarity	computational time
test\condame.jpg	100	5.667999982833862
test\condame_45.png	5	3.878000020980835
test\condame_90.jpg	99	6.558000087738037
test\condame_cropped.jpg	71	7.450999975204468
test\life.JPEG	0	1.5
test\malcomx.jpg	0	20.780999898910522
test\prayer_45.png	0	6.460000038146973
test\prayer_blurred.jpg	0	1.181999921798706
test\rose_90.jpg	0	7.14300012588501
test\rose_blurred.jpg	0	0.8139998912811279
image type	percentage similarity	computational time
test\condame.jpg	100	8.504999876022339
test\condame_45.png	6	5.183000087738037
test\condame_90.jpg	99	6.827000141143799
test\condame_cropped.jpg	73	5.976000070571899
test\life.JPEG	0	0.818000078201294
test\malcomx.jpg	0	15.07099986076355
test\prayer_45.png	0	4.488999843597412
test\prayer_blurred.jpg	0	0.6449999809265137
test\rose_90.jpg	0	5.928999900817871
test\rose_blurred.jpg	0	0.75
image type	percentage similarity	computational time
test\condame.jpg	100	7.549999952316284
test\condame_45.png	6	4.132000207901001
test\condame_90.jpg	99	5.770999908447266
test\condame_cropped.jpg	73	6.33299994468689
test\life.JPEG	0	0.8300001621246338
test\malcomx.jpg	0	15.46500015258789
test\prayer_45.png	0	6.375
test\prayer_blurred.jpg	0	0.8680000305175781
test\rose_90.jpg	0	6.425999879837036
test\rose_blurred.jpg	0	0.7079999446868896
image type	percentage similarity	computational time
test\condame.jpg	100	7.5350000858306885
test\condame_45.png	8	4.493000030517578
test\condame_90.jpg	100	6.11899995803833
test\condame_cropped.jpg	76	6.184000015258789
test\life.JPEG	0	0.810999870300293
test\malcomx.jpg	0	15.164999961853027
test\prayer_45.png	0	5.878999948501587
test\prayer_blurred.jpg	0	0.9570000171661377
test\rose_90.jpg	0	7.0279998779296875
test\rose_blurred.jpg	0	0.625
image type	percentage similarity	computational time
test\condame.jpg	100	6.73799991607666
test\condame_45.png	8	4.302999973297119
test\condame_90.jpg	100	6.684999942779541
test\condame_cropped.jpg	76	6.068999767303467
test\life.JPEG	0	0.943000078201294
test\malcomx.jpg	0	20.819000005722046
test\prayer_45.png	0	4.810999870300293
test\prayer_blurred.jpg	0	0.7630000114440918
test\rose_90.jpg	0	5.2190001010894775
test\rose_blurred.jpg	0	0.5809998512268066
image type	percentage similarity	computational time
test\condame.jpg	100	7.560999870300293
test\condame_45.png	8	5.335999965667725
test\condame_90.jpg	100	5.711999893188477
test\condame_cropped.jpg	76	5.972999811172485
test\life.JPEG	0	0.8289999961853027
test\malcomx.jpg	0	14.950999975204468
test\prayer_45.png	0	4.513000011444092
test\prayer_blurred.jpg	0	0.6579999923706055
test\rose_90.jpg	0	5.167999982833862
test\rose_blurred.jpg	0	0.7850000858306885
image type	percentage similarity	computational time
test\condame.jpg	100	5.857999801635742
test\condame_45.png	8	4.203000068664551
test\condame_90.jpg	100	5.822999954223633
test\condame_cropped.jpg	76	6.023000001907349
test\life.JPEG	0	0.806999921798706
test\malcomx.jpg	0	15.026999950408936
test\prayer_45.png	0	6.113999843597412
test\prayer_blurred.jpg	0	0.8510000705718994
test\rose_90.jpg	0	6.689000129699707
test\rose_blurred.jpg	0	0.6069998741149902
image type	percentage similarity	computational time
test\condame.jpg	100	5.796000003814697
test\condame_45.png	10	4.022000074386597
test\condame_90.jpg	100	5.827000141143799
test\condame_cropped.jpg	77	7.870000123977661
test\life.JPEG	0	1.0449998378753662
test\malcomx.jpg	0	18.01699995994568
test\prayer_45.png	0	4.494999885559082
test\prayer_blurred.jpg	1	0.6419999599456787
test\rose_90.jpg	0	5.2099997997283936
test\rose_blurred.jpg	0	0.5720000267028809
image type	percentage similarity	computational time
test\condame.jpg	100	7.5929999351501465
test\condame_45.png	10	5.312000036239624
test\condame_90.jpg	100	6.315999984741211
test\condame_cropped.jpg	77	6.10699987411499
test\life.JPEG	0	0.9429998397827148
test\malcomx.jpg	0	14.809999942779541
test\prayer_45.png	0	4.514999866485596
test\prayer_blurred.jpg	1	0.6489999294281006
test\rose_90.jpg	0	5.187999963760376
test\rose_blurred.jpg	0	0.7400000095367432
image type	percentage similarity	computational time
test\condame.jpg	100	5.7829999923706055
test\condame_45.png	13	4.088000059127808
test\condame_90.jpg	100	6.003000020980835
test\condame_cropped.jpg	79	6.231000185012817
test\life.JPEG	2	0.7929999828338623
test\malcomx.jpg	0	19.98799991607666
test\prayer_45.png	0	4.9049999713897705
test\prayer_blurred.jpg	2	0.6510000228881836
test\rose_90.jpg	0	5.848999977111816
test\rose_blurred.jpg	1	0.7130000591278076
image type	percentage similarity	computational time
test\condame.jpg	100	6.309999942779541
test\condame_45.png	13	4.959000110626221
test\condame_90.jpg	100	5.898000001907349
test\condame_cropped.jpg	79	6.77400016784668
test\life.JPEG	2	0.7990000247955322
test\malcomx.jpg	0	20.681999921798706
test\prayer_45.png	0	5.333999872207642
test\prayer_blurred.jpg	2	0.7560000419616699
test\rose_90.jpg	0	5.35099983215332
test\rose_blurred.jpg	1	0.5849997997283936
image type	percentage similarity	computational time
test\condame.jpg	100	7.698999881744385
test\condame_45.png	13	5.7210001945495605
test\condame_90.jpg	100	6.038000106811523
test\condame_cropped.jpg	79	5.983999967575073
test\life.JPEG	2	0.8119997978210449
test\malcomx.jpg	0	17.6010000705719
test\prayer_45.png	0	5.9090001583099365
test\prayer_blurred.jpg	2	1.1589999198913574
test\rose_90.jpg	0	6.751000165939331
test\rose_blurred.jpg	1	0.687000036239624
image type	percentage similarity	computational time
test\condame.jpg	100	5.980999946594238
test\condame_45.png	16	5.3480000495910645
test\condame_90.jpg	100	6.20799994468689
test\condame_cropped.jpg	81	8.13700008392334
test\life.JPEG	5	1.0310001373291016
test\malcomx.jpg	1	18.838000059127808
test\prayer_45.png	1	5.2159998416900635
test\prayer_blurred.jpg	4	0.6760001182556152
test\rose_90.jpg	1	6.24399995803833
test\rose_blurred.jpg	3	0.6749999523162842
image type	percentage similarity	computational time
test\condame.jpg	100	7.641000032424927
test\condame_45.png	16	4.211999893188477
test\condame_90.jpg	100	5.7190001010894775
test\condame_cropped.jpg	81	5.921000003814697
test\life.JPEG	5	0.7829999923706055
test\malcomx.jpg	1	14.555000066757202
test\prayer_45.png	1	4.423999786376953
test\prayer_blurred.jpg	4	0.6410000324249268
test\rose_90.jpg	1	6.698000192642212
test\rose_blurred.jpg	3	0.7089998722076416
image type	percentage similarity	computational time
test\condame.jpg	100	5.644999980926514
test\condame_45.png	16	4.1579999923706055
test\condame_90.jpg	100	5.740999937057495
test\condame_cropped.jpg	81	5.876000165939331
test\life.JPEG	5	0.8050000667572021
test\malcomx.jpg	1	14.509999990463257
test\prayer_45.png	1	6.17300009727478
test\prayer_blurred.jpg	4	0.8859999179840088
test\rose_90.jpg	1	6.288000106811523
test\rose_blurred.jpg	3	0.5559999942779541
image type	percentage similarity	computational time
test\condame.jpg	100	5.641999959945679
test\condame_45.png	21	3.9000000953674316
test\condame_90.jpg	100	5.621999979019165
test\condame_cropped.jpg	83	7.732000112533569
test\life.JPEG	10	1.0950000286102295
test\malcomx.jpg	3	20.090999841690063
test\prayer_45.png	4	4.414999961853027
test\prayer_blurred.jpg	8	0.7049999237060547
test\rose_90.jpg	4	5.0299999713897705
test\rose_blurred.jpg	7	0.5669999122619629
image type	percentage similarity	computational time
test\condame.jpg	100	5.56000018119812
test\condame_45.png	21	5.170000076293945
test\condame_90.jpg	100	7.456000089645386
test\condame_cropped.jpg	83	6.392000198364258
test\life.JPEG	10	0.8159999847412109
test\malcomx.jpg	3	14.297999858856201
test\prayer_45.png	4	4.437000036239624
test\prayer_blurred.jpg	8	0.6419999599456787
test\rose_90.jpg	4	5.0290000438690186
test\rose_blurred.jpg	7	0.753000020980835
image type	percentage similarity	computational time
test\condame.jpg	100	5.568000078201294
test\condame_45.png	28	3.879999876022339
test\condame_90.jpg	100	5.52400016784668
test\condame_cropped.jpg	85	5.79800009727478
test\life.JPEG	18	0.7750000953674316
test\malcomx.jpg	9	14.380000114440918
test\prayer_45.png	10	5.724999904632568
test\prayer_blurred.jpg	14	0.8350000381469727
test\rose_90.jpg	9	6.687999963760376
test\rose_blurred.jpg	15	0.5750000476837158
image type	percentage similarity	computational time
test\condame.jpg	100	5.555999994277954
test\condame_45.png	28	3.859999895095825
test\condame_90.jpg	100	5.575999975204468
test\condame_cropped.jpg	85	5.7769999504089355
test\life.JPEG	18	0.7650001049041748
test\malcomx.jpg	9	18.830000162124634
test\prayer_45.png	10	4.641000032424927
test\prayer_blurred.jpg	14	0.621999979019165
test\rose_90.jpg	9	5.017999887466431
test\rose_blurred.jpg	15	0.6159999370574951
image type	percentage similarity	computational time
test\condame.jpg	100	5.608999967575073
test\condame_45.png	28	3.8889999389648438
test\condame_90.jpg	100	7.3459999561309814
test\condame_cropped.jpg	85	8.572999954223633
test\life.JPEG	18	1.1080000400543213
test\malcomx.jpg	9	14.92900013923645
test\prayer_45.png	10	4.92300009727478
test\prayer_blurred.jpg	14	0.6289999485015869
test\rose_90.jpg	9	5.014000177383423
test\rose_blurred.jpg	15	0.5480000972747803
image type	percentage similarity	computational time
test\condame.jpg	100	7.247999906539917
test\condame_45.png	40	3.8299999237060547
test\condame_90.jpg	100	5.577000141143799
test\condame_cropped.jpg	88	5.82699990272522
test\life.JPEG	33	0.7659997940063477
test\malcomx.jpg	20	14.29800009727478
test\prayer_45.png	22	4.328000068664551
test\prayer_blurred.jpg	25	0.625
test\rose_90.jpg	21	4.976000070571899
test\rose_blurred.jpg	29	0.5519998073577881
image type	percentage similarity	computational time
test\condame.jpg	100	5.5320000648498535
test\condame_45.png	40	3.8929998874664307
test\condame_90.jpg	100	5.533999919891357
test\condame_cropped.jpg	88	5.797000169754028
test\life.JPEG	33	0.7659997940063477
test\malcomx.jpg	20	14.257999897003174
test\prayer_45.png	22	4.320000171661377
test\prayer_blurred.jpg	25	0.6269998550415039
test\rose_90.jpg	21	4.988000154495239
test\rose_blurred.jpg	29	0.5469999313354492
image type	percentage similarity	computational time
test\condame.jpg	100	5.5929999351501465
test\condame_45.png	40	3.874000072479248
test\condame_90.jpg	100	5.572000026702881
test\condame_cropped.jpg	88	5.768999814987183
test\life.JPEG	33	0.7660000324249268
test\malcomx.jpg	20	14.246000051498413
test\prayer_45.png	22	4.338000059127808
test\prayer_blurred.jpg	25	0.629000186920166
test\rose_90.jpg	21	4.9709999561309814
test\rose_blurred.jpg	29	0.5450000762939453
image type	percentage similarity	computational time
test\condame.jpg	100	5.562000036239624
test\condame_45.png	61	3.8420000076293945
test\condame_90.jpg	100	5.556999921798706
test\condame_cropped.jpg	92	5.79800009727478
test\life.JPEG	58	0.7880001068115234
test\malcomx.jpg	46	14.22100019454956
test\prayer_45.png	48	4.306999921798706
test\prayer_blurred.jpg	48	0.632000207901001
test\rose_90.jpg	47	4.996999979019165
test\rose_blurred.jpg	52	0.5490000247955322
image type	percentage similarity	computational time
test\condame.jpg	100	6.801999807357788
test\condame_45.png	61	4.4720001220703125
test\condame_90.jpg	100	5.921000003814697
test\condame_cropped.jpg	92	6.5279998779296875
test\life.JPEG	58	0.9590001106262207
test\malcomx.jpg	46	15.907999992370605
test\prayer_45.png	48	4.360999822616577
test\prayer_blurred.jpg	48	1.6430001258850098
test\rose_90.jpg	47	5.666000127792358
test\rose_blurred.jpg	52	0.6230001449584961
image type	percentage similarity	computational time
test\condame.jpg	100	6.060999870300293
test\condame_45.png	100	4.202000141143799
test\condame_90.jpg	100	6.0959999561309814
test\condame_cropped.jpg	100	6.250999927520752
test\life.JPEG	100	0.8380000591278076
test\malcomx.jpg	100	16.335000038146973
test\prayer_45.png	100	4.656999826431274
test\prayer_blurred.jpg	100	0.8340001106262207
test\rose_90.jpg	100	5.562999963760376
test\rose_blurred.jpg	100	0.6059999465942383
