image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	20	0.006999969482421875
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0070002079010009766
test\likeblack_cropped.jpg	0	0.0
test\malcomx.jpg	0	0.0
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0
test\rose_90.jpg	0	0.0
test\rose_blurred.jpg	0	0.006999969482421875
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	20	0.0010001659393310547
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	0	0.0
test\malcomx.jpg	0	0.0009999275207519531
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0009999275207519531
test\rose_90.jpg	0	0.0
test\rose_blurred.jpg	0	0.0009999275207519531
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	20	0.0
test\condame_90.jpg	100	0.006999969482421875
test\condame_cropped.jpg	100	0.04900002479553223
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	0	0.0
test\malcomx.jpg	0	0.0
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.009000062942504883
test\rose_90.jpg	0	0.002000093460083008
test\rose_blurred.jpg	0	0.0
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	40	0.0
test\condame_90.jpg	100	0.0009999275207519531
test\condame_cropped.jpg	100	0.004999876022338867
test\condame_lumino.jpg	100	0.007999897003173828
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0009999275207519531
test\likeblack_cropped.jpg	0	0.019999980926513672
test\malcomx.jpg	0	0.0
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0
test\rose_90.jpg	0	0.0
test\rose_blurred.jpg	0	0.019999980926513672
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	40	0.0
test\condame_90.jpg	100	0.005000114440917969
test\condame_cropped.jpg	100	0.007999897003173828
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	0	0.0
test\malcomx.jpg	0	0.0
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0
test\rose_90.jpg	0	0.0
test\rose_blurred.jpg	0	0.006000041961669922
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	40	0.0
test\condame_90.jpg	100	0.0009999275207519531
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	0	0.007999897003173828
test\malcomx.jpg	0	0.0
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0009999275207519531
test\rose_90.jpg	20	0.0
test\rose_blurred.jpg	0	0.053999900817871094
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	40	0.0
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	0	0.0019998550415039062
test\malcomx.jpg	20	0.0009999275207519531
test\memory_blurred.jpg	0	0.0
test\prayer_45.png	20	0.0
test\rose_90.jpg	20	0.002000093460083008
test\rose_blurred.jpg	0	0.0
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	40	0.0
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.0
test\likeblack_45.png	0	0.0009999275207519531
test\likeblack_cropped.jpg	0	0.0
test\malcomx.jpg	60	0.0
test\memory_blurred.jpg	40	0.0
test\prayer_45.png	20	0.0
test\rose_90.jpg	20	0.0
test\rose_blurred.jpg	0	0.0
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.0
test\condame_45.png	80	0.0010001659393310547
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0
test\condame_lumino.jpg	100	0.0
test\life.JPEG	0	0.002000093460083008
test\likeblack_45.png	0	0.0
test\likeblack_cropped.jpg	60	0.0
test\malcomx.jpg	80	0.0
test\memory_blurred.jpg	40	0.0
test\prayer_45.png	40	0.0
test\rose_90.jpg	20	0.0
test\rose_blurred.jpg	0	0.0
image name	matching time	time_to_fetch_descriptors
test\condame.jpg	100	0.004000186920166016
test\condame_45.png	80	0.0009999275207519531
test\condame_90.jpg	100	0.0
test\condame_cropped.jpg	100	0.0009999275207519531
test\condame_lumino.jpg	100	0.0
test\life.JPEG	20	0.0
test\likeblack_45.png	20	0.0
